genre_ids,id,original_title,vote_average,vote_count
"[35, 18]",56272,Elektra Luxx,4.9,74
"[18, 53, 80]",68341,冷たい熱帯魚,6.6,113
"[14, 18, 27, 10749]",52587,Wir sind die Nacht,6.2,129
"[18, 10749]",56743,Elena Undone,7.2,81
"[53, 27]",34583,The Final,5.6,131
"[27, 35, 53]",43919,Hatchet II,5.5,160
[35],45523,Louis C.K.: Hilarious,8.0,127
"[80, 53, 35, 9648]",27004,Ca$h,5.8,112
"[10751, 35]",38579,Marmaduke,5.1,367
[35],32823,Get Him to the Greek,5.9,980
"[10749, 878]",59457,Womb,6.1,159
"[18, 80]",48838,London Boulevard,5.9,409
"[53, 18, 28, 80]",40720,Twelve,5.9,147
"[14, 18, 28, 53, 16]",71883,レドライン,7.4,110
"[35, 18]",39781,The Kids Are All Right,6.6,854
"[28, 12, 14, 27]",12685,BloodRayne: The Third Reich,3.7,83
"[9648, 53]",11761,Peacock,6.1,104
"[14, 27, 53]",46261,Don't Be Afraid of the Dark,5.5,550
"[16, 18]",41201,L'illusionniste,7.4,280
"[18, 53]",44113,Stone,5.2,334
[18],31007,Welcome to the Rileys,6.5,241
"[35, 18, 14, 27, 9648]",45649,Rubber,5.9,417
"[53, 28, 18]",30618,Bunraku,5.9,161
"[35, 18, 10749]",38073,Going the Distance,6.0,394
"[27, 53]",52274,Los ojos de Julia,6.7,415
"[12, 14, 28, 37, 53]",46528,The Warrior's Way,6.1,203
"[18, 10749]",23830,Last Night,6.1,444
"[35, 18, 9648]",44718,Get Low,6.7,135
"[35, 18, 10749]",40794,Mine vaganti,7.4,310
"[18, 10402]",27586,The Runaways,6.4,448
"[18, 10749]",51736,Bloomington,6.6,65
"[27, 53]",41436,Paranormal Activity 2,5.7,1342
"[12, 16, 10751, 35]",43956,Tom and Jerry Meet Sherlock Holmes,6.6,19
"[18, 28, 53, 80]",13635,L'Instinct de mort,7.4,434
"[28, 27, 878]",52454,Mega Shark vs. Crocosaurus,2.7,60
"[16, 18, 878, 53]",36800,Metropia,6.3,82
[18],44129,The Company Men,6.6,349
"[16, 10751, 35, 12, 10749]",12819,Alpha and Omega,5.4,227
"[10770, 18, 10751, 14]",50479,Avalon High,6.1,313
"[27, 53]",42941,30 Days of Night: Dark Days,4.7,218
"[16, 35, 10751]",54559,Minions: Orientation Day,6.9,117
"[16, 28, 878]",30675,Planet Hulk,6.7,185
"[18, 53]",44982,13,5.7,392
"[27, 878]",29426,Survival of the Dead,4.8,199
[18],53399,La solitudine dei numeri primi,5.8,218
"[18, 28, 53]",34179,錦衣衛,6.6,87
"[10751, 16]",44874,Barbie: A Fashion Fairytale,6.8,228
"[27, 35, 878, 53, 10770, 28]",46020,Sharktopus,4.4,69
"[18, 27, 53]",39957,Burning Bright,6.0,113
"[18, 14]",44603,Hereafter,5.9,848
"[18, 9648, 53, 80, 10749]",46503,All Good Things,6.0,493
"[18, 28, 35, 80]",34769,Defendor,6.4,295
